state,name,udid,runtime,isAvailable,GiB
Shutdown,CLAUDE final-sim (streak) - iPhone 17,2B249EAA-609D-4780-AE91-C1D988192F85,com.apple.CoreSimulator.SimRuntime.iOS-26-5,True,2.7213516235351562
Shutdown,ps-viewport-audit-ipadpro129,4D9B4549-AC6D-4C47-8724-5D6820EEC7E1,com.apple.CoreSimulator.SimRuntime.iOS-26-5,True,2.7045669555664062
Shutdown,testprog-w4-paygate-proof - iPhone 17 Pro,FD3BE5D4-EF90-4E2E-BFC1-B5BEC00A6B6D,com.apple.CoreSimulator.SimRuntime.iOS-26-5,True,2.682933807373047
Shutdown,ps-viewport-audit-ipadair11,801EE500-C851-4655-864C-AFDD839780BA,com.apple.CoreSimulator.SimRuntime.iOS-26-5,True,2.6664390563964844
Shutdown,rc-canonical-ios,C63AB3E0-915A-4262-95D7-AE15624786C5,com.apple.CoreSimulator.SimRuntime.iOS-26-5,True,2.6523399353027344
Shutdown,CLAUDE coach-occlusion (completed path) - iPhone 17,79C2079E-AE65-415C-9DBE-42A4BD0BCF42,com.apple.CoreSimulator.SimRuntime.iOS-26-5,True,2.6366920471191406
Shutdown,PRIME qwen-coach-beta (filmstrip) - iPhone 17 Pro,53DACA24-4191-498E-B9F9-E151A4C43F35,com.apple.CoreSimulator.SimRuntime.iOS-26-5,True,2.6067543029785156
Shutdown,CLAUDE path-guide (puzzle path testing guide) - iPhone 17,14DAA5C6-E732-4D43-968D-670CE3EEFCA2,com.apple.CoreSimulator.SimRuntime.iOS-26-5,True,2.5866851806640625
Shutdown,claude-streak-guide-20260730,1FA81EFC-75C4-4B4F-838C-52D76F6AA945,com.apple.CoreSimulator.SimRuntime.iOS-26-5,True,2.579357147216797
Shutdown,OPUS missions-copy-pr - iPhone 17,C40AF579-7A98-4E77-A084-2B0D3B15CE2E,com.apple.CoreSimulator.SimRuntime.iOS-26-5,True,2.5700531005859375
Shutdown,PRIME paygate watchdog fix - iPhone 17,F3F50B8F-D453-4317-870C-E61ABA5935AF,com.apple.CoreSimulator.SimRuntime.iOS-26-5,True,2.5547142028808594
Shutdown,fix_remove-inappropriate-wyw-cards-20260810 - iPhone 17 Pro,3B85F6BF-66C2-4DE4-9D9D-DF6F8513AF47,com.apple.CoreSimulator.SimRuntime.iOS-26-3,True,2.544178009033203
Shutdown,PRIME billing-recovery (grace fixtures) - iPhone 17 Pro,5A17E758-9F82-45AF-9708-BDBB04ADF15D,com.apple.CoreSimulator.SimRuntime.iOS-26-4,True,2.5403213500976562
Shutdown,PRIME puzzle-open-4105 - iPhone 17,1640FE0D-9EE2-4187-886A-79AF4C1C346A,com.apple.CoreSimulator.SimRuntime.iOS-26-5,True,2.5124969482421875
Shutdown,PRIME #3474 iOS resume audio - iPhone 17 Pro,DF5C3555-6BDA-4454-AC90-DE7922E02AC7,com.apple.CoreSimulator.SimRuntime.iOS-26-5,True,2.489856719970703
Shutdown,RLM PR3825 final 4301c99 - iPhone 17 Pro,384E67B4-B756-4A06-999E-138241CFA548,com.apple.CoreSimulator.SimRuntime.iOS-26-5,True,2.4573211669921875
Shutdown,FABLE issue-3725 (deadline floor) - iPhone 17 Pro,7BAB6DB5-C10F-4F31-BB17-6F4EB4B04DAA,com.apple.CoreSimulator.SimRuntime.iOS-26-5,True,2.41436767578125
Shutdown,OPUS difficulty-pill (daily card) - iPhone 17,B6E6FD0C-2753-4F8B-B410-BEB498C657DF,com.apple.CoreSimulator.SimRuntime.iOS-26-5,True,2.330291748046875
Shutdown,investigate_3899-telemetry-ramp-up-20260812 - iPhone 17 Pro Max,F73FA6D4-8967-47BD-8950-143738FB5FBD,com.apple.CoreSimulator.SimRuntime.iOS-26-3,True,2.3188323974609375
Shutdown,CLAUDE cloud-qa-ios (money suite) - iPhone 17,484A1270-2F24-47A2-9B52-A0C3CA73DA5F,com.apple.CoreSimulator.SimRuntime.iOS-26-5,True,2.318706512451172
Shutdown,PRIME pvai split-pot (joey-pvai-01) - iPhone 17,9B97B4B1-1DFB-4994-BA8C-8AB0D68B748F,com.apple.CoreSimulator.SimRuntime.iOS-26-5,True,2.316650390625
Shutdown,CLAUDE onboarding-preopen (slot dwell) - iPhone 17 Pro,7AB6AFB1-8205-4769-BFFD-017F6560CAA8,com.apple.CoreSimulator.SimRuntime.iOS-26-5,True,2.3050155639648438
Shutdown,PRIME first-open-auth automation 20260816 - iPhone 17,3D7D7483-264F-468F-9A32-DF8EECBF254B,com.apple.CoreSimulator.SimRuntime.iOS-26-5,True,2.278308868408203
Shutdown,CODEX flame-orange (streak) - iPhone 17 Pro,D238191F-E7FD-4BD6-B77F-85398AEA204E,com.apple.CoreSimulator.SimRuntime.iOS-26-5,True,2.275238037109375
Shutdown,CODEX lane-flows (PR3449) - iPhone 17 Pro,39FD117C-45D2-4400-B1D7-91EFF8DDE5B6,com.apple.CoreSimulator.SimRuntime.iOS-26-5,True,2.257843017578125
Shutdown,fix_scripted-hand-replay-budget-deferred-20260719 - ps-viewport-audit-iphone16pro,8236E6AD-8CA6-4962-B54B-EC614CA983CC,com.apple.CoreSimulator.SimRuntime.iOS-26-5,True,2.0673828125
Shutdown,iPad (A16),A9396C09-667B-48EC-9396-80417BF8460A,com.apple.CoreSimulator.SimRuntime.iOS-26-5,True,2.0509262084960938
